№ Объекта	Нас. пункт	Район	Улица	Дом	Цена. т.р.	Ком.	О	Ж	К	Этаж	Этажность
17_00609000113	Новосибирск	Октябрьский	Высоцкого	50/2	3400	2	53	31	9	2	10
17_00635000182	Новосибирск	Октябрьский	Высоцкого	53	3000	1	33	15	8	9	15
17_00635000245	Новосибирск	Октябрьский	Выборная	109	3350	3	57	38	7	1	5
17_00635000415	Новосибирск	Октябрьский	Лескова	15	5200	2	60	34	10	4	10
17_00635000456	Новосибирск	Октябрьский	Покатная	130/1	2700	1	28	20	1	5	17
17_00635000473	Новосибирск	Октябрьский	Прямой пер	4	2600	2	45	24	7	1	1
17_00844000115	Новосибирск	Октябрьский	Бориса Богаткова	158	2820	2	54	33	6	1	2
17_00844000133	Новосибирск	Октябрьский	Лескова	260	2350	1	32	18	7	7	9
17_00845000091	Новосибирск	Октябрьский	Большевистская	128	5650	2	55	28	10	7	10
17_00845000092	Новосибирск	Октябрьский	Кирова	32	7000	2	52	20	14	16	24
17_00885000256	Новосибирск	Октябрьский	Закаменский мкр	15	4650	1	51	18	10	8	25
17_00893000213	Новосибирск	Октябрьский	Восход	20/1	7000	2	70	28	25	2	19
17_01059000426	Новосибирск	Октябрьский	Бориса Богаткова	208/2	5080	2	64	38	11	20	22
17_01059000446	Новосибирск	Октябрьский	Выборная	103/2	4740	3	74	48	9	4	10
17_01103000216	Новосибирск	Октябрьский	Высоцкого	50/4	3200	2	49	26	8	9	10
17_01103000217	Новосибирск	Октябрьский	Высоцкого	54/2	2450	1	43	17	12	9	10
17_01230000220	Новосибирск	Октябрьский	Татьяны Снежиной	29/4	3195	2	58	38	8	9	10
17_01230000226	Новосибирск	Октябрьский	Татьяны Снежиной	45/1	3230	2	58	34	12	10	10
17_01230000235	Новосибирск	Октябрьский	Михаила Кулагина	31	4949	2	59	25	17	3	20
17_01291000244	Новосибирск	Октябрьский	Бориса Богаткова	207	3800	3	63	42	7	8	9
17_01291000245	Новосибирск	Октябрьский	Бориса Богаткова	211	2580	1	32	17	6	8	9
17_01355000206	Новосибирск	Октябрьский	Кошурникова	22/2	3550	1	37	15	10	13	23
17_01355000232	Новосибирск	Октябрьский	Лазурная	28	2300	1	27	20	1	15	18
17_01506000100	Новосибирск	Октябрьский	Высоцкого	34	2190	1	34	16	9	5	10
17_01541000228	Новосибирск	Октябрьский	Большевистская	122	4780	2	55	28	11	3	10
17_01581000043	Новосибирск	Октябрьский	Высоцкого	43	5950	3	89	51	11	23	27
17_01588000230	Новосибирск	Октябрьский	Высоцкого	41/5	2070	1	32	20	5	5	10
17_01682000308	Новосибирск	Октябрьский	Кирова	225	2600	1	35	22	7	5	17
17_01682000325	Новосибирск	Октябрьский	Кирова	225	2600	1	35	20	5	4	17
17_01682000331	Новосибирск	Октябрьский	Кропоткина	128	3700	3	60	40	7	5	9
17_01726000393	Новосибирск	Октябрьский	Большевистская	34	1150	1	32	25	3	2	5
17_01750000177	Новосибирск	Октябрьский	Татьяны Снежиной	51	3850	2	76	41	14	5	10
17_01750000180	Новосибирск	Октябрьский	Лескова	31	4300	1	40	18	11	6	17
17_01754000198	Новосибирск	Октябрьский	Высоцкого	27	3750	4	77	50	9	10	10
17_01759000247	Новосибирск	Октябрьский	Обская 2-я	69/2	5540	3	102	65	16	3	9
17_01799000096	Новосибирск	Октябрьский	40 лет Октября	22	840	2	30	23	6	1	1
17_01886000195	Новосибирск	Октябрьский	Ленинградская	101/1	7150	3	120	70	17	2	11
17_01906000080	Новосибирск	Октябрьский	Лазурная	6	3630	3	83	65	18	7	10
17_01906000082	Новосибирск	Октябрьский	Восход	20/1	8500	2	65	37	12	3	19
17_01906000084	Новосибирск	Октябрьский	Татьяны Снежиной	45	3670	2	59	25	16	8	10
17_01968000141	Новосибирск	Октябрьский	Выборная	106/1	5930	3	83	47	13	4	17
17_02021000725	Новосибирск	Октябрьский	Сакко и Ванцетти	74	6750	2	80	38	12	9	21
17_02249000091	Новосибирск	Октябрьский	Виталия Потылицына	1	2030	1	33	21	5	9	10
17_02287000179	Новосибирск	Октябрьский	Татьяны Снежиной	51	1830	1	33	20	5	8	10
17_02302000147	Новосибирск	Октябрьский	Обская	50	5000	3	75	44	9	7	16
17_02332000374	Новосибирск	Октябрьский	Выборная	91/1	2900	1	38	17	11	2	10
17_02335000414	Новосибирск	Октябрьский	Высоцкого	44	2470	1	32	17	8	9	10
17_02335000418	Новосибирск	Октябрьский	Высоцкого	141/3	2580	2	64	36	13	9	10
17_02341000215	Новосибирск	Октябрьский	Грибоедова	33	2950	3	51	35	5	5	5
17_02341000221	Новосибирск	Октябрьский	Высоцкого	40/1	3650	3	69	60	9	10	10
17_02379000139	Новосибирск	Октябрьский	Высоцкого	50/3	3200	2	50	31	9	6	10
17_02421000124	Новосибирск	Октябрьский	Татьяны Снежиной	41	2500	1	43	20	10	6	10
17_02473000498	Новосибирск	Октябрьский	Рябиновая	43739	3900	2	62	32	15	13	17
17_02473000615	Новосибирск	Октябрьский	Грибоедова	99	2400	3	55	40	7	2	2
17_02473000659	Новосибирск	Октябрьский	Лобова	9	1599	1	29	17	5	2	2
17_02496000501	Новосибирск	Октябрьский	Выборная	130	3950	3	63	40	11	10	11
17_02496000969	Новосибирск	Октябрьский	Выборная	89/5	2690	1	40	20	10	3	10
17_02496001146	Новосибирск	Октябрьский	Выборная	154	2950	1	57	25	16	1	10
17_02496001147	Новосибирск	Октябрьский	Выборная	127	3870	3	67	40	9	6	10
17_02496001170	Новосибирск	Октябрьский	Выборная	91/2	6990	3	97	59	11	15	17
17_02524000161	Новосибирск	Октябрьский	Вилюйская	15	5290	3	70	31	16	22	26
17_02528000137	Новосибирск	Октябрьский	Нижегородская	18	4490	1	49	23	11	15	18
17_02528000138	Новосибирск	Октябрьский	Нижегородская	18	7200	3	96	54	17	9	18
17_02528000152	Новосибирск	Октябрьский	Высоцкого	45	3290	1	40	16	10	3	13
17_50704000235	Новосибирск	Октябрьский	Ключ-Камышенское Плато	14/1	2400	1	31	14	9	2	16
17_50704000512	Новосибирск	Октябрьский	Рябиновая	43739	3830	2	61	32	14	3	17
17_50704000540	Новосибирск	Октябрьский	Вилюйская	8	3100	1	45	18	12	10	17
17_50704000541	Новосибирск	Октябрьский	Сибревкома	9	4650	1	48	13	16	22	28
17_50730000153	Новосибирск	Октябрьский	Большевистская	43	11000	3	109	68	20	2	5
17_50730000154	Новосибирск	Октябрьский	Кирова	46	9990	3	112	61	17	7	14
17_50888000097	Новосибирск	Октябрьский	Высоцкого	150/3	1290	1	33	21	5	5	10
17_50931000233	Новосибирск	Октябрьский	Татьяны Снежиной	31/5	3290	2	55	35	7	11	18
17_50931000249	Новосибирск	Октябрьский	Татьяны Снежиной	49/1	3100	1	54	25	14	3	10
17_51044000106	Новосибирск	Октябрьский	Ключ-Камышенское Плато	8	1900	1	30	17	6	1	9
17_51145000171	Новосибирск	Октябрьский	Вилюйская	3	5670	3	75	40	15	14	26
17_51166000124	Новосибирск	Октябрьский	Высоцкого	3	1800	3	65	40	10	4	10
17_51166000207	Новосибирск	Октябрьский	Псковская	23	3200	4	76	52	10	1	1
17_51166000211	Новосибирск	Октябрьский	Угловая	10	1590	3	39	31	8	1	1
17_51239000156	Новосибирск	Октябрьский	Бориса Богаткова	196	3400	2	43	28	7	6	9
17_51332000181	Новосибирск	Октябрьский	Вилюйская	5	5640	3	94	56	13	2	27
17_51343000837	Новосибирск	Октябрьский	Никитина	138Б	3230	4	60	46	6	1	5
17_51390000119	Новосибирск	Октябрьский	Восход	20/1	5800	3	69	44	13	1	19
17_51394000123	Новосибирск	Октябрьский	Покатная	122	14990	3	100	38	34	25	25
17_51394000124	Новосибирск	Октябрьский	Высоцкого	25	3600	3	65	38	10	4	13
17_51394000125	Новосибирск	Октябрьский	Бориса Богаткова	208/1	3950	3	60	40	7	6	9
17_51489000163	Новосибирск	Октябрьский	Высоцкого	150/2	2373	2	67	42	5	8	10
17_51489000193	Новосибирск	Октябрьский	Тополевая	16	3255	2	44	22	12	6	11
17_51498000093	Новосибирск	Октябрьский	Высоцкого	64	2780	2	54	25	14	6	10
17_51547000557	Новосибирск	Октябрьский	Выборная	99/8	4650	2	64	33	13	5	10
17_51547000562	Новосибирск	Октябрьский	Покатная	122	6600	2	62	33	12	5	25
17_51547000563	Новосибирск	Октябрьский	Выборная	125/1	4500	2	56	31	9	10	10
17_51547000564	Новосибирск	Октябрьский	Ключ-Камышенское Плато	43678	3850	2	61	33	11	1	7
17_51835001221	Новосибирск	Октябрьский	Высоцкого	150/1	2090	2	64	37	5	9	10
17_51835001555	Новосибирск	Октябрьский	Шевченко	33	7350	3	90	52	13	10	14
17_51937000088	Новосибирск	Октябрьский	Федосеева	3	4100	4	85	56	9	1	9
17_52047000040	Новосибирск	Октябрьский	Лазурная	18	2400	1	40	18	9	7	10
17_52180000641	Новосибирск	Октябрьский	Высоцкого	50	2150	1	31	19	7	4	10
17_52312000309	Новосибирск	Октябрьский	9-го Ноября	95	3200	2	48	29	8	6	9
17_52312000343	Новосибирск	Октябрьский	Высоцкого	49	4370	2	65	38	10	2	15
17_52312000344	Новосибирск	Октябрьский	Бориса Богаткова	171/2	3000	2	41	26	5	3	9
17_52312000345	Новосибирск	Октябрьский	Вилюйская	5	5000	2	74	36	21	11	27
17_52312000371	Новосибирск	Октябрьский	Федосеева	2	3070	1	36	16	8	9	14
17_52312000372	Новосибирск	Октябрьский	Ключ-Камышенское Плато	10	3650	2	51	31	9	5	10
17_52312000381	Новосибирск	Октябрьский	Бориса Богаткова	194/3	4400	3	62	41	7	4	9
17_52312000382	Новосибирск	Октябрьский	Стофато	9	4900	2	56	33	10	7	10
17_52312000383	Новосибирск	Октябрьский	Стофато	7	4300	2	53	30	10	1	10
17_52500003595	Новосибирск	Октябрьский	Шевченко	15	4320	1	43	1	1	7	17
17_52626000374	Новосибирск	Октябрьский	Федосеева	10	4090	2	60	42	7	4	9
17_52636000108	Новосибирск	Октябрьский	Декабристов	72	3070	3	57	40	6	2	5
17_52694000066	Новосибирск	Октябрьский	Журавлева	11а	2680	2	48	32	6	2	5
17_52760000781	Новосибирск	Октябрьский	Лазурная	10	3550	3	67	40	9	6	9
17_52834000116	Новосибирск	Октябрьский	Выборная	101/7	4300	3	84	49	10	1	9
17_52834000153	Новосибирск	Октябрьский	Лескова	214	3300	3	63	43	7	8	9
17_52834000160	Новосибирск	Октябрьский	Карла Либкнехта	94	3900	3	66	39	9	9	10
17_52844000135	Новосибирск	Октябрьский	Выборная	105/3	2799	1	40	17	9	6	9
17_52867001248	Новосибирск	Октябрьский	Татьяны Снежиной	49/1	4050	2	76	42	14	6	10
17_52867001254	Новосибирск	Октябрьский	Татьяны Снежиной	25/3	3450	3	60	37	8	3	10
17_52895000503	Новосибирск	Октябрьский	Высоцкого	52	2100	1	33	25	1	2	10
17_52978001228	Новосибирск	Октябрьский	Лескова	31	5299	2	56	35	9	12	17
17_53010000251	Новосибирск	Октябрьский	Военная	9	3300	1	47	18	12	6	17
17_53010000275	Новосибирск	Октябрьский	Высоцкого	5	4450	4	79	61	9	7	10
17_53057000097	Новосибирск	Октябрьский	Никитина	62	4200	3	76	48	12	1	9
17_53057000098	Новосибирск	Октябрьский	Никитина	62	3750	3	76	48	12	1	9
17_53134000187	Новосибирск	Октябрьский	Декабристов	41	15000	2	74	37	16	8	16
17_53135000049	Новосибирск	Октябрьский	Обская	94	800	1	17	15	2	1	2
17_53148000105	Новосибирск	Октябрьский	Татьяны Снежиной	46	2043	1	33	20	1	4	10
17_53260000160	Новосибирск	Октябрьский	Тургенева	223	3600	3	62	47	6	2	5
17_53274000268	Новосибирск	Октябрьский	Высоцкого	64	3190	2	76	42	34	5	10
17_53320000196	Новосибирск	Октябрьский	Никитина	145	2450	2	40	19	7	1	5
17_53336000119	Новосибирск	Октябрьский	Татьяны Снежиной	51	3590	3	76	40	14	10	10
17_53357000167	Новосибирск	Октябрьский	Выборная	158/1	4050	2	53	30	10	5	12
17_53388002026	Новосибирск	Октябрьский	Вилюйская	3	1500	1	40	21	5	27	27
17_53435000317	Новосибирск	Октябрьский	Татьяны Снежиной	39/1	2000	1	32	15	5	9	10
17_53446004850	Новосибирск	Октябрьский	9-го Ноября	95	6500	4	107	78	25	3	9
17_53446009246	Новосибирск	Октябрьский	Высоцкого	49	4600	2	60	35	22	6	15
17_53446009816	Новосибирск	Октябрьский	Выборная	99/8	3700	1	44	25	10	4	10
17_53446010526	Новосибирск	Октябрьский	Федосеева	10	4090	3	60	42	7	2	9
17_53446010530	Новосибирск	Октябрьский	Высоцкого	150/2	2310	2	64	17	20	5	10
17_53446010675	Новосибирск	Октябрьский	Гурьевская	33	2250	1	31	19	6	5	5
17_53457000972	Новосибирск	Октябрьский	Татьяны Снежиной	29	2070	1	34	26	5	9	10
17_53457000993	Новосибирск	Октябрьский	Добролюбова	20	3140	2	43	28	7	5	5
17_53457001009	Новосибирск	Октябрьский	Вилюйская	7	3150	1	45	27	5	13	27
17_53457001078	Новосибирск	Октябрьский	Рябиновая	43739	2600	1	35	14	10	17	17
17_53457001087	Новосибирск	Октябрьский	Федосеева	3	2950	1	42	18	9	10	10
17_53495000134	Новосибирск	Октябрьский	Вилюйская	5	5000	2	70	37	12	7	27
17_53501000736	Новосибирск	Октябрьский	Выборная	154	3950	3	70	38	16	1	10
17_53517000123	Новосибирск	Октябрьский	Лазурная	14	3040	3	64	35	17	1	10
17_53517000173	Новосибирск	Октябрьский	Кошурникова	22/2	2650	1	30	15	1	13	21
17_53517000220	Новосибирск	Октябрьский	Федосеева	32	2650	1	30	18	6	4	9
17_53517000221	Новосибирск	Октябрьский	Закаменский мкр	20/1	4900	1	42	19	11	9	9
17_53517000234	Новосибирск	Октябрьский	Татьяны Снежиной	46/1	4600	3	100	60	11	2	10
17_53532000218	Новосибирск	Октябрьский	Гурьевская	37	2760	2	46	31	6	5	5
17_53559003162	Новосибирск	Октябрьский	Виталия Потылицына	5	2070	1	33	20	5	6	10
17_53620000199	Новосибирск	Октябрьский	Большевистская	175/5	1050	1	23	20	1	12	12
17_53642000264	Новосибирск	Октябрьский	Большевистская	104	2900	1	30	21	1	11	17
17_53659000039	Новосибирск	Октябрьский	Военная	43709	7990	3	100	62	20	3	17
17_53659000110	Новосибирск	Октябрьский	Выборная	99/8	3400	1	42	17	12	6	10
17_53677000494	Новосибирск	Октябрьский	Выборная	91/1	2350	1	26	20	6	1	10
17_53706000143	Новосибирск	Октябрьский	Татьяны Снежиной	27/3	2750	1	38	20	13	5	10
17_53710000925	Новосибирск	Октябрьский	Виталия Потылицына	43772	4300	3	74	49	7	17	18
17_53725000031	Новосибирск	Октябрьский	Выборная	113/1	2000	1	29	16	6	1	5
17_53726000072	Новосибирск	Октябрьский	Зыряновская	61	4260	1	53	21	11	5	14
17_53743000171	Новосибирск	Октябрьский	Шевченко	15	7790	3	90	57	12	1	17
17_53743000174	Новосибирск	Октябрьский	Татьяны Снежиной	49/2	2900	2	57	41	9	8	10
17_53743000177	Новосибирск	Октябрьский	Высоцкого	44	2350	1	34	17	9	9	10
17_53743000178	Новосибирск	Октябрьский	Высоцкого	141/9	2550	3	60	46	9	10	10
17_53805000020	Новосибирск	Октябрьский	Сакко и Ванцетти	42	3750	1	34	14	9	2	10
17_53805000102	Новосибирск	Октябрьский	Лескова	250	2950	2	45	30	6	4	5
17_53805000314	Новосибирск	Октябрьский	Виталия Потылицына	43650	2725	2	57	31	9	10	18
17_53805000321	Новосибирск	Октябрьский	Виталия Потылицына	13/2	1900	1	39	25	6	8	10
17_53805000325	Новосибирск	Октябрьский	Гаранина	25/1	5299	4	80	50	9	7	10
17_53805000327	Новосибирск	Октябрьский	Виталия Потылицына	43650	2725	3	56	23	18	10	18
17_53805000335	Новосибирск	Октябрьский	Бориса Богаткова	163/3	2980	2	43	30	6	3	5
17_53807000016	Новосибирск	Октябрьский	Обская	80/1	5400	3	96	48	23	4	11
17_53812000168	Новосибирск	Октябрьский	Обская	80/1	5100	2	78	49	14	3	11
17_53824000124	Новосибирск	Октябрьский	Татьяны Снежиной	25/2	2650	1	42	20	11	2	10
17_53842000239	Новосибирск	Октябрьский	Татьяны Снежиной	31/3	4770	3	96	86	10	10	10
17_53845000097	Новосибирск	Октябрьский	Обская	50/1	5850	3	101	43	15	9	10
17_53876000136	Новосибирск	Октябрьский	Бориса Богаткова	177	3690	2	48	27	7	2	9
17_53906000255	Новосибирск	Октябрьский	Татьяны Снежиной	29	3300	2	60	40	8	10	10
17_53906000387	Новосибирск	Октябрьский	9-го Ноября	95	4700	3	75	50	10	2	9
17_53937000065	Новосибирск	Октябрьский	Добролюбова	112	1660	2	31	20	5	2	2
17_53978000024	Новосибирск	Октябрьский	Бориса Богаткова	171/1	3400	2	45	26	6	2	5
17_54002000044	Новосибирск	Октябрьский	Лескова	19	6500	2	69	40	15	4	10
17_54006000121	Новосибирск	Октябрьский	Гурьевская	78	9950	3	110	64	18	14	14
17_54006000126	Новосибирск	Октябрьский	Выборная	91/3	4500	2	72	33	16	16	17
17_54006000178	Новосибирск	Октябрьский	Ключ-Камышенское Плато	8	4100	4	74	51	7	1	9
17_54006000195	Новосибирск	Октябрьский	Вилюйская	9	5200	2	70	37	14	18	27
17_54015000169	Новосибирск	Октябрьский	Большевистская	16	3190	2	55	30	6	3	4
17_54054000093	Новосибирск	Октябрьский	Татьяны Снежиной	35	2350	1	40	17	11	8	18
17_54185000061	Новосибирск	Октябрьский	Нижегородская	18	4950	2	48	23	10	2	18
17_54279001289	Новосибирск	Октябрьский	Выборная	103/2	5500	3	89	55	10	3	5
17_54337000074	Новосибирск	Октябрьский	Большевистская	114	3690	1	36	14	10	6	10
17_54337000077	Новосибирск	Октябрьский	Большевистская	104	2800	1	35	12	8	4	17
17_54341000147	Новосибирск	Октябрьский	Бориса Богаткова	188/1	3800	3	57	36	7	9	9
17_54363000020	Новосибирск	Октябрьский	Стофато	10	7900	4	123	78	20	9	11
17_54363000071	Новосибирск	Октябрьский	Чехова	111	4780	2	53	29	9	20	26
17_54377000033	Новосибирск	Октябрьский	Выборная	99/2	3900	2	47	26	8	2	9
